"company","year","sales"
"KB금융","실적2018",420271
"KB금융","실적2019",471697
"KB금융","실적2020",NA
"KB오토시스","실적2017",1643
"KB오토시스","실적2018",1519
"KB오토시스","실적2019",1478
"KB오토시스","실적2020",NA
"KCC건설","실적2017",13264
"KCC건설","실적2018",10636
"KCC건설","실적2019",16425
"KCC건설","실적2020",NA
"KCI","실적2017",485
"KCI","실적2018",606
"KCI","실적2019",696
"KCI","실적2020",NA
"KC그린홀딩스","실적2017",3524
"KC그린홀딩스","실적2018",5347
"KC그린홀딩스","실적2019",6989
"KC그린홀딩스","실적2020",NA
"KC코트렐","실적2017",1685
"KC코트렐","실적2018",1820
"KC코트렐","실적2019",3006
"KC코트렐","실적2020",NA
"KD","실적2017",171
"KD","실적2018",312
"KD","실적2019",843
"KD","실적2020",NA
"KEC","실적2017",2263
"KEC","실적2018",2174
"KEC","실적2019",2017
"KEC","실적2020",NA
"KG ETS","실적2017",1088
"KG ETS","실적2018",1237
"KG ETS","실적2019",1609
"KG ETS","실적2020",1613
"KG동부제철","실적2017",25962
"KG동부제철","실적2018",25451
"KG동부제철","실적2019",24283
"KG동부제철","실적2020",NA
"KG모빌리언스","실적2017",1706
"KG모빌리언스","실적2018",2029
"KG모빌리언스","실적2019",1922
"KG모빌리언스","실적2020",2858
"KG이니시스","실적2017",7585
"KG이니시스","실적2018",9246
"KG이니시스","실적2019",9561
"KG이니시스","실적2020",NA
"KG케미칼","실적2017",10995
"KG케미칼","실적2018",12828
"KG케미칼","실적2019",20684
"KG케미칼","실적2020",NA
"KH바텍","실적2017",3511
"KH바텍","실적2018",1659
"KH바텍","실적2019",2036
"KH바텍","실적2020",2018
"KISCO홀딩스","실적2017",12213
"KISCO홀딩스","실적2018",12886
"KISCO홀딩스","실적2019",11830
"KISCO홀딩스","실적2020",NA
"KMH","실적2017",1651
"KMH","실적2018",1926
"KMH","실적2019",2580
"KMH","실적2020",NA
"KMH하이텍","실적2017",515
"KMH하이텍","실적2018",610
"KMH하이텍","실적2019",590
"KMH하이텍","실적2020",NA
"KNN","실적2017",654
"KNN","실적2018",641
"KNN","실적2019",711
"KNN","실적2020",NA
"KPX생명과학","실적2017",426
"KPX생명과학","실적2018",328
"KPX생명과학","실적2019",376
"KPX생명과학","실적2020",NA
"KPX케미칼","실적2017",7037
"KPX케미칼","실적2018",7667
"KPX케미칼","실적2019",7657
"KPX케미칼","실적2020",6970
"KPX홀딩스","실적2017",7533
"KPX홀딩스","실적2018",10224
"KPX홀딩스","실적2019",10103
"KPX홀딩스","실적2020",NA
"KR모터스","실적2017",417
"KR모터스","실적2018",366
"KR모터스","실적2019",1326
"KR모터스","실적2020",NA
"KSS해운","실적2017",1776
"KSS해운","실적2018",2025
"KSS해운","실적2019",2312
"KSS해운","실적2020",NA
"KTB투자증권","실적2017",3342
"KTB투자증권","실적2018",3587
"KTB투자증권","실적2019",3812
"KTB투자증권","실적2020",NA
"KTcs","실적2017",9678
"KTcs","실적2018",10161
"KTcs","실적2019",9449
"KTcs","실적2020",NA
"KTH","실적2017",2276
"KTH","실적2018",2789
"KTH","실적2019",3223
"KTH","실적2020",NA
"KTis","실적2017",4381
"KTis","실적2018",4508
"KTis","실적2019",4510
"KTis","실적2020",NA
"KT서브마린","실적2017",737
"KT서브마린","실적2018",613
"KT서브마린","실적2019",552
"KT서브마린","실적2020",NA
"LF","실적2017",16021
"LF","실적2018",17067
"LF","실적2019",18517
"LF","실적2020",16553
"LG","실적2017",118411
"LG","실적2018",77434
"LG","실적2019",65753
"LG","실적2020",70427
"LG디스플레이","실적2017",277902
"LG디스플레이","실적2018",243366
"LG디스플레이","실적2019",234756
"LG디스플레이","실적2020",239504
"LG상사","실적2017",128272
"LG상사","실적2018",99882
"LG상사","실적2019",105309
"LG상사","실적2020",104423
"LG생활건강","실적2017",61051
"LG생활건강","실적2018",67475
"LG생활건강","실적2019",76854
"LG생활건강","실적2020",78312
"LG유플러스","실적2017",122794
"LG유플러스","실적2018",117256
"LG유플러스","실적2019",123820
"LG유플러스","실적2020",133442
"LG이노텍","실적2017",76414
"LG이노텍","실적2018",79821
"LG이노텍","실적2019",83021
"LG이노텍","실적2020",92820
"LG전자","실적2017",613963
"LG전자","실적2018",613417
"LG전자","실적2019",623062
"LG전자","실적2020",625380
"LG하우시스","실적2017",32094
"LG하우시스","실적2018",32665
"LG하우시스","실적2019",31868
"LG하우시스","실적2020",29806
"LG헬로비전","실적2017",11199
"LG헬로비전","실적2018",11780
"LG헬로비전","실적2019",11122
"LG헬로비전","실적2020",10696
"LG화학","실적2017",256980
"LG화학","실적2018",281830
"LG화학","실적2019",286250
"LG화학","실적2020",300093
"LIG넥스원","실적2017",17613
"LIG넥스원","실적2018",14772
"LIG넥스원","실적2019",14527
"LIG넥스원","실적2020",15930
"LS","실적2017",94183
"LS","실적2018",100927
"LS","실적2019",101762
"LS","실적2020",103221
"LS네트웍스","실적2017",4434
"LS네트웍스","실적2018",4459
"LS네트웍스","실적2019",4028
"LS네트웍스","실적2020",NA
"LS전선아시아","실적2017",4037
"LS전선아시아","실적2018",4413
"LS전선아시아","실적2019",5203
"LS전선아시아","실적2020",5526
"MH에탄올","실적2017",520
"MH에탄올","실적2018",728
"MH에탄올","실적2019",809
"MH에탄올","실적2020",NA
"MP그룹","실적2017",1452
"MP그룹","실적2018",1198
"MP그룹","실적2019",1099
"MP그룹","실적2020",NA
"MP한강","실적2017",637
"MP한강","실적2018",542
"MP한강","실적2019",481
"MP한강","실적2020",NA
"NAVER","실적2017",46785
"NAVER","실적2018",55869
"NAVER","실적2019",65934
"NAVER","실적2020",57787
"NEW","실적2017",945
"NEW","실적2018",1612
"NEW","실적2019",1492
"NEW","실적2020",NA
"NE능률","실적2017",575
"NE능률","실적2018",860
"NE능률","실적2019",846
"NE능률","실적2020",NA
"NHN벅스","실적2017",928
"NHN벅스","실적2018",897
"NHN벅스","실적2019",848
"NHN벅스","실적2020",NA
"NHN한국사이버결제","실적2017",3520
"NHN한국사이버결제","실적2018",4327
"NHN한국사이버결제","실적2019",4699
"NHN한국사이버결제","실적2020",6236
"NH투자증권","실적2017",95455
"NH투자증권","실적2018",92413
"NH투자증권","실적2019",115035
"NH투자증권","실적2020",132676
"NICE","실적2017",14501
"NICE","실적2018",14702
"NICE","실적2019",18777
"NICE","실적2020",19996
"NICE평가정보","실적2017",3604
"NICE평가정보","실적2018",3838
"NICE평가정보","실적2019",4109
"NICE평가정보","실적2020",4427
"NI스틸","실적2017",1506
"NI스틸","실적2018",1507
"NI스틸","실적2019",1482
"NI스틸","실적2020",NA
"OCI","실적2017",36316
"OCI","실적2018",31121
"OCI","실적2019",26051
"OCI","실적2020",19251
"OQP","실적2017",400
"OQP","실적2018",434
"OQP","실적2019",646
"OQP","실적2020",NA
"PI첨단소재","실적2017",2164
"PI첨단소재","실적2018",2455
"PI첨단소재","실적2019",2237
"PI첨단소재","실적2020",2584
"PN풍년","실적2017",671
"PN풍년","실적2018",618
"PN풍년","실적2019",546
"PN풍년","실적2020",NA
"RFHIC","실적2017",621
"RFHIC","실적2018",1081
"RFHIC","실적2019",1078
"RFHIC","실적2020",804
"S-Oil","실적2017",208914
"S-Oil","실적2018",254633
"S-Oil","실적2019",243942
"S-Oil","실적2020",169500
"S&K폴리텍","실적2017",1786
"S&K폴리텍","실적2018",2820
"S&K폴리텍","실적2019",3380
"S&K폴리텍","실적2020",NA
"S&TC","실적2017",1841
"S&TC","실적2018",1395
"S&TC","실적2019",2133
"S&TC","실적2020",NA
"S&T모티브","실적2017",11375
"S&T모티브","실적2018",9189
"S&T모티브","실적2019",9763
"S&T모티브","실적2020",9491
"S&T중공업","실적2017",4363
"S&T중공업","실적2018",3963
"S&T중공업","실적2019",3751
"S&T중공업","실적2020",NA
"S&T홀딩스","실적2017",15082
"S&T홀딩스","실적2018",14013
"S&T홀딩스","실적2019",15121
"S&T홀딩스","실적2020",NA
"SBI인베스트먼트","실적2017",182
"SBI인베스트먼트","실적2018",169
"SBI인베스트먼트","실적2019",236
"SBI인베스트먼트","실적2020",NA
"SBI핀테크솔루션즈","실적2017",658
"SBI핀테크솔루션즈","실적2018",788
"SBI핀테크솔루션즈","실적2019",947
"SBI핀테크솔루션즈","실적2020",1184
"SBS","실적2017",7732
"SBS","실적2018",9140
"SBS","실적2019",8177
"SBS","실적2020",8520
"SBS미디어홀딩스","실적2017",4219
"SBS미디어홀딩스","실적2018",2316
"SBS미디어홀딩스","실적2019",2398
"SBS미디어홀딩스","실적2020",NA
"SBS콘텐츠허브","실적2017",1980
"SBS콘텐츠허브","실적2018",1598
"SBS콘텐츠허브","실적2019",1621
"SBS콘텐츠허브","실적2020",NA
"SCI평가정보","실적2017",428
"SCI평가정보","실적2018",499
"SCI평가정보","실적2019",526
"SCI평가정보","실적2020",NA
"SDN","실적2017",526
"SDN","실적2018",609
"SDN","실적2019",650
"SDN","실적2020",NA
"SFA반도체","실적2017",4496
"SFA반도체","실적2018",4579
"SFA반도체","실적2019",5889
"SFA반도체","실적2020",NA
"SG","실적2017",1261
"SG","실적2018",1423
"SG","실적2019",1328
"SG","실적2020",NA
"SG&G","실적2017",12078
"SG&G","실적2018",10888
"SG&G","실적2019",9389
"SG&G","실적2020",NA
"SGA","실적2017",981
"SGA","실적2018",889
"SGA","실적2019",815
"SGA","실적2020",NA
"SGA솔루션즈","실적2017",553
"SGA솔루션즈","실적2018",454
"SGA솔루션즈","실적2019",451
"SGA솔루션즈","실적2020",NA
"SGC에너지","실적2017",3200
"SGC에너지","실적2018",2653
"SGC에너지","실적2019",2842
"SGC에너지","실적2020",NA
"SG세계물산","실적2017",2854
"SG세계물산","실적2018",3202
"SG세계물산","실적2019",3125
"SG세계물산","실적2020",NA
"SG충방","실적2017",1433
"SG충방","실적2018",1345
"SG충방","실적2019",1258
"SG충방","실적2020",NA
"SH에너지화학","실적2017",1881
"SH에너지화학","실적2018",1836
"SH에너지화학","실적2019",1409
"SH에너지화학","실적2020",NA
"SIMPAC","실적2017",2306
"SIMPAC","실적2018",3062
"SIMPAC","실적2019",4301
"SIMPAC","실적2020",NA
"SK","실적2017",906128
"SK","실적2018",NA
"SK","실적2019",992646
"SK","실적2020",864484
"SK4호스팩","실적2017",NA
"SK4호스팩","실적2018",NA
"SK4호스팩","실적2019",NA
"SK4호스팩","실적2020",NA
"SK5호스팩","실적2017",NA
"SK5호스팩","실적2018",NA
"SK5호스팩","실적2019",NA
"SK5호스팩","실적2020",NA
"SK6호스팩","실적2017",NA
"SK6호스팩","실적2018",NA
"SK6호스팩","실적2019",NA
"SK6호스팩","실적2020",NA
"SKC","실적2017",26535
"SKC","실적2018",27678
"SKC","실적2019",25398
"SKC","실적2020",28112
"SKC 솔믹스","실적2017",1327
"SKC 솔믹스","실적2018",1403
"SKC 솔믹스","실적2019",1388
"SKC 솔믹스","실적2020",NA
"SK가스","실적2017",63589
"SK가스","실적2018",68592
"SK가스","실적2019",49311
"SK가스","실적2020",45711
"SK네트웍스","실적2017",152023
"SK네트웍스","실적2018",126458
"SK네트웍스","실적2019",130542
"SK네트웍스","실적2020",108704
"SK디스커버리","실적2017",64159
"SK디스커버리","실적2018",69392
"SK디스커버리","실적2019",50211
"SK디스커버리","실적2020",NA
"SK디앤디","실적2017",3308
"SK디앤디","실적2018",5628
"SK디앤디","실적2019",4547
"SK디앤디","실적2020",7237
"SK렌터카","실적2017",6368
"SK렌터카","실적2018",6525
"SK렌터카","실적2019",6409
"SK렌터카","실적2020",8553
"SK머티리얼즈","실적2017",5123
"SK머티리얼즈","실적2018",6873
"SK머티리얼즈","실적2019",7722
"SK머티리얼즈","실적2020",9423
"SK이노베이션","실적2017",461627
"SK이노베이션","실적2018",542165
"SK이노베이션","실적2019",498765
"SK이노베이션","실적2020",354857
"SK증권","실적2017",4673
"SK증권","실적2018",5343
"SK증권","실적2019",5502
"SK증권","실적2020",NA
"SK케미칼","실적2017",878
"SK케미칼","실적2018",13677
"SK케미칼","실적2019",14272
"SK케미칼","실적2020",12319
"SK텔레콤","실적2017",175200
"SK텔레콤","실적2018",168740
"SK텔레콤","실적2019",177437
"SK텔레콤","실적2020",185592
"SK하이닉스","실적2017",301094
"SK하이닉스","실적2018",404451
"SK하이닉스","실적2019",269907
"SK하이닉스","실적2020",314279
"SM C&C","실적2017",886
"SM C&C","실적2018",1970
"SM C&C","실적2019",1667
"SM C&C","실적2020",NA
"SM Life Design","실적2017",292
"SM Life Design","실적2018",200
"SM Life Design","실적2019",370
"SM Life Design","실적2020",NA
"SNK","실적2017",545
"SNK","실적2018",679
"SNK","실적2019",1021
"SNK","실적2020",NA
"SPC삼립","실적2017",20655
"SPC삼립","실적2018",22202
"SPC삼립","실적2019",24992
"SPC삼립","실적2020",25569
"STX","실적2017",18039
"STX","실적2018",15030
"STX","실적2019",14712
"STX","실적2020",NA
"STX엔진","실적2017",4678
"STX엔진","실적2018",5773
"STX엔진","실적2019",6106
"STX엔진","실적2020",NA
"STX중공업","실적2017",1852
"STX중공업","실적2018",2148
"STX중공업","실적2019",2540
"STX중공업","실적2020",NA
"SV인베스트먼트","실적2017",180
"SV인베스트먼트","실적2018",306
"SV인베스트먼트","실적2019",116
"SV인베스트먼트","실적2020",NA
"TCC스틸","실적2017",3914
"TCC스틸","실적2018",4132
"TCC스틸","실적2019",4372
"TCC스틸","실적2020",NA
"THE E&M","실적2017",136
"THE E&M","실적2018",278
"THE E&M","실적2019",448
"THE E&M","실적2020",NA
"THE MIDONG","실적2017",282
"THE MIDONG","실적2018",196
"THE MIDONG","실적2019",249
"THE MIDONG","실적2020",NA
"TJ미디어","실적2017",836
"TJ미디어","실적2018",685
"TJ미디어","실적2019",754
"TJ미디어","실적2020",NA
"TPC","실적2017",1019
"TPC","실적2018",1046
"TPC","실적2019",1011
"TPC","실적2020",NA
"TS인베스트먼트","실적2017",52
"TS인베스트먼트","실적2018",113
"TS인베스트먼트","실적2019",117
"TS인베스트먼트","실적2020",NA
"UCI","실적2017",194
"UCI","실적2018",198
"UCI","실적2019",187
"UCI","실적2020",NA
"WI","실적2017",121
"WI","실적2018",193
"WI","실적2019",241
"WI","실적2020",281
"WISCOM","실적2017",1168
"WISCOM","실적2018",1119
"WISCOM","실적2019",1155
"WISCOM","실적2020",NA
"W홀딩컴퍼니","실적2017",324
"W홀딩컴퍼니","실적2018",520
"W홀딩컴퍼니","실적2019",180
"W홀딩컴퍼니","실적2020",NA
"YBM넷","실적2017",609
"YBM넷","실적2018",626
"YBM넷","실적2019",601
"YBM넷","실적2020",NA
"YG PLUS","실적2017",725
"YG PLUS","실적2018",936
"YG PLUS","실적2019",1245
"YG PLUS","실적2020",NA
"YTN","실적2017",1311
"YTN","실적2018",1324
"YTN","실적2019",1308
"YTN","실적2020",NA
"YW","실적2017",264
"YW","실적2018",294
"YW","실적2019",192
"YW","실적2020",NA
"가비아","실적2017",1162
"가비아","실적2018",1287
"가비아","실적2019",1483
"가비아","실적2020",NA
"가온미디어","실적2017",5284
"가온미디어","실적2018",6098
"가온미디어","실적2019",6010
"가온미디어","실적2020",NA
"가온전선","실적2017",8370
"가온전선","실적2018",8407
"가온전선","실적2019",8303
"가온전선","실적2020",NA
"감마누","실적2017",345
"감마누","실적2018",330
"감마누","실적2019",313
"감마누","실적2020",NA
"강남제비스코","실적2017",3000
"강남제비스코","실적2018",3070
"강남제비스코","실적2019",3325
"강남제비스코","실적2020",NA
"강스템바이오텍","실적2017",91
"강스템바이오텍","실적2018",92
"강스템바이오텍","실적2019",60
"강스템바이오텍","실적2020",NA
"강원","실적2017",820
"강원","실적2018",859
"강원","실적2019",425
"강원","실적2020",NA
"강원랜드","실적2017",15478
"강원랜드","실적2018",14381
"강원랜드","실적2019",15201
"강원랜드","실적2020",4981
"갤럭시아머니트리","실적2017",691
"갤럭시아머니트리","실적2018",814
"갤럭시아머니트리","실적2019",856
"갤럭시아머니트리","실적2020",NA
"갤럭시아에스엠","실적2017",312
"갤럭시아에스엠","실적2018",220
"갤럭시아에스엠","실적2019",287
"갤럭시아에스엠","실적2020",NA
"게임빌","실적2017",1064
"게임빌","실적2018",1125
"게임빌","실적2019",1199
"게임빌","실적2020",1506
"경남바이오파마","실적2017",149
"경남바이오파마","실적2018",154
"경남바이오파마","실적2019",375
"경남바이오파마","실적2020",NA
"경남스틸","실적2017",2870
"경남스틸","실적2018",2749
"경남스틸","실적2019",3182
"경남스틸","실적2020",NA
"경남제약","실적2017",402
"경남제약","실적2018",414
"경남제약","실적2019",448
"경남제약","실적2020",NA
"경남제약헬스케어","실적2017",152
"경남제약헬스케어","실적2018",121
"경남제약헬스케어","실적2019",91
"경남제약헬스케어","실적2020",NA
"경농","실적2017",2065
"경농","실적2018",2127
"경농","실적2019",2275
"경농","실적2020",NA
"경동나비엔","실적2017",6847
"경동나비엔","실적2018",7267
"경동나비엔","실적2019",7743
"경동나비엔","실적2020",8840
"경동도시가스","실적2017",8715
"경동도시가스","실적2018",16065
"경동도시가스","실적2019",14227
"경동도시가스","실적2020",NA
"경동인베스트","실적2017",1951
"경동인베스트","실적2018",2286
"경동인베스트","실적2019",2718
"경동인베스트","실적2020",NA
"경동제약","실적2017",1778
"경동제약","실적2018",1793
"경동제약","실적2019",1765
"경동제약","실적2020",NA
"경방","실적2017",3608
"경방","실적2018",3514
"경방","실적2019",3439
"경방","실적2020",NA
"경보제약","실적2017",1917
"경보제약","실적2018",2013
"경보제약","실적2019",1917
"경보제약","실적2020",2214
"경인양행","실적2017",3000
"경인양행","실적2018",3311
"경인양행","실적2019",3588
"경인양행","실적2020",NA
"경인전자","실적2017",220
"경인전자","실적2018",185
"경인전자","실적2019",133
"경인전자","실적2020",NA
"경창산업","실적2017",5634
"경창산업","실적2018",5965
"경창산업","실적2019",5313
"경창산업","실적2020",NA
"계룡건설산업","실적2017",22408
"계룡건설산업","실적2018",22927
"계룡건설산업","실적2019",22757
"계룡건설산업","실적2020",NA
"계양전기","실적2017",3399
"계양전기","실적2018",3651
"계양전기","실적2019",3750
"계양전기","실적2020",NA
"고려산업","실적2017",1745
"고려산업","실적2018",1584
"고려산업","실적2019",1925
"고려산업","실적2020",NA
"고려시멘트","실적2017",877
"고려시멘트","실적2018",701
"고려시멘트","실적2019",709
"고려시멘트","실적2020",NA
"고려신용정보","실적2017",878
"고려신용정보","실적2018",1035
"고려신용정보","실적2019",1165
"고려신용정보","실적2020",NA
"고려아연","실적2017",65967
"고려아연","실적2018",68833
"고려아연","실적2019",66948
"고려아연","실적2020",73326
"고려제강","실적2017",15505
"고려제강","실적2018",15772
"고려제강","실적2019",16397
"고려제강","실적2020",NA
"고려제약","실적2017",554
"고려제약","실적2018",520
"고려제약","실적2019",555
"고려제약","실적2020",NA
"고바이오랩","실적2017",NA
"고바이오랩","실적2018",1
"고바이오랩","실적2019",6
"고바이오랩","실적2020",20
"고영","실적2017",2034
"고영","실적2018",2382
"고영","실적2019",2221
"고영","실적2020",1831
"골드퍼시픽","실적2017",50
"골드퍼시픽","실적2018",80
"골드퍼시픽","실적2019",116
