"company","year","debt"
"SBS미디어홀딩스","실적2020",NA
"SBS콘텐츠허브","실적2017",42
"SBS콘텐츠허브","실적2018",36
"SBS콘텐츠허브","실적2019",26
"SBS콘텐츠허브","실적2020",NA
"SCI평가정보","실적2017",29
"SCI평가정보","실적2018",25
"SCI평가정보","실적2019",32
"SCI평가정보","실적2020",NA
"SDN","실적2017",104
"SDN","실적2018",75
"SDN","실적2019",78
"SDN","실적2020",NA
"SFA반도체","실적2017",134
"SFA반도체","실적2018",118
"SFA반도체","실적2019",109
"SFA반도체","실적2020",NA
"SG","실적2017",232
"SG","실적2018",231
"SG","실적2019",214
"SG","실적2020",NA
"SG&G","실적2017",106
"SG&G","실적2018",100
"SG&G","실적2019",79
"SG&G","실적2020",NA
"SGA","실적2017",86
"SGA","실적2018",93
"SGA","실적2019",162
"SGA","실적2020",NA
"SGA솔루션즈","실적2017",64
"SGA솔루션즈","실적2018",101
"SGA솔루션즈","실적2019",190
"SGA솔루션즈","실적2020",NA
"SGC에너지","실적2017",146
"SGC에너지","실적2018",139
"SGC에너지","실적2019",122
"SGC에너지","실적2020",NA
"SG세계물산","실적2017",68
"SG세계물산","실적2018",69
"SG세계물산","실적2019",40
"SG세계물산","실적2020",NA
"SG충방","실적2017",59
"SG충방","실적2018",57
"SG충방","실적2019",56
"SG충방","실적2020",NA
"SH에너지화학","실적2017",16
"SH에너지화학","실적2018",16
"SH에너지화학","실적2019",24
"SH에너지화학","실적2020",NA
"SIMPAC","실적2017",58
"SIMPAC","실적2018",56
"SIMPAC","실적2019",53
"SIMPAC","실적2020",NA
"SK","실적2017",139
"SK","실적2018",134
"SK","실적2019",153
"SK","실적2020",NA
"SK4호스팩","실적2017",NA
"SK4호스팩","실적2018",8
"SK4호스팩","실적2019",8
"SK4호스팩","실적2020",NA
"SK5호스팩","실적2017",NA
"SK5호스팩","실적2018",350
"SK5호스팩","실적2019",18
"SK5호스팩","실적2020",NA
"SK6호스팩","실적2017",NA
"SK6호스팩","실적2018",NA
"SK6호스팩","실적2019",383
"SK6호스팩","실적2020",NA
"SKC","실적2017",130
"SKC","실적2018",126
"SKC","실적2019",130
"SKC","실적2020",NA
"SKC 솔믹스","실적2017",134
"SKC 솔믹스","실적2018",113
"SKC 솔믹스","실적2019",140
"SKC 솔믹스","실적2020",NA
"SK가스","실적2017",144
"SK가스","실적2018",128
"SK가스","실적2019",145
"SK가스","실적2020",NA
"SK네트웍스","실적2017",207
"SK네트웍스","실적2018",236
"SK네트웍스","실적2019",339
"SK네트웍스","실적2020",NA
"SK디스커버리","실적2017",135
"SK디스커버리","실적2018",107
"SK디스커버리","실적2019",115
"SK디스커버리","실적2020",NA
"SK디앤디","실적2017",264
"SK디앤디","실적2018",328
"SK디앤디","실적2019",286
"SK디앤디","실적2020",NA
"SK렌터카","실적2017",401
"SK렌터카","실적2018",375
"SK렌터카","실적2019",377
"SK렌터카","실적2020",NA
"SK머티리얼즈","실적2017",173
"SK머티리얼즈","실적2018",246
"SK머티리얼즈","실적2019",210
"SK머티리얼즈","실적2020",NA
"SK이노베이션","실적2017",77
"SK이노베이션","실적2018",86
"SK이노베이션","실적2019",117
"SK이노베이션","실적2020",NA
"SK증권","실적2017",764
"SK증권","실적2018",594
"SK증권","실적2019",626
"SK증권","실적2020",NA
"SK케미칼","실적2017",161
"SK케미칼","실적2018",168
"SK케미칼","실적2019",196
"SK케미칼","실적2020",NA
"SK텔레콤","실적2017",85
"SK텔레콤","실적2018",89
"SK텔레콤","실적2019",95
"SK텔레콤","실적2020",NA
"SK하이닉스","실적2017",34
"SK하이닉스","실적2018",35
"SK하이닉스","실적2019",35
"SK하이닉스","실적2020",NA
"SM C&C","실적2017",161
"SM C&C","실적2018",179
"SM C&C","실적2019",201
"SM C&C","실적2020",NA
"SM Life Design","실적2017",10
"SM Life Design","실적2018",12
"SM Life Design","실적2019",23
"SM Life Design","실적2020",NA
"SNK","실적2017",20
"SNK","실적2018",19
"SNK","실적2019",5
"SNK","실적2020",NA
"SPC삼립","실적2017",162
"SPC삼립","실적2018",139
"SPC삼립","실적2019",270
"SPC삼립","실적2020",NA
"STX","실적2017",1374
"STX","실적2018",765
"STX","실적2019",895
"STX","실적2020",NA
"STX엔진","실적2017",724
